"osebuildingid","datayear","buildingname","buildingtype","taxparcelidentificationnumber","address","city","state","zipcode","latitude","longitude","neighborhood","councildistrictcode","yearbuilt","numberoffloors","numberofbuildings","propertygfatotal","propertygfabuildings","propertygfaparking","selfreportgfatotal","selfreportgfabuildings","selfreportparking","energystarscore","siteeuiwn_kbtu_sf","siteeui_kbtu_sf","siteenergyuse_kbtu","siteenergyusewn_kbtu","sourceeuiwn_kbtu_sf","sourceeui_kbtu_sf","epapropertytype","largestpropertyusetype","largestpropertyusetypegfa","secondlargestpropertyusetype","secondlargestpropertyuse","thirdlargestpropertyusetype","thirdlargestpropertyusetypegfa","electricity_kwh","steamuse_kbtu","naturalgas_therms","compliancestatus","complianceissue","electricity_kbtu","naturalgas_kbtu","totalghgemissions","ghgemissionsintensity","demolished"
"38","2025","Good Shepherd Center","NonResidential","825049102","4649 SUNNYSIDE AVE N","SEATTLE","WA","98103","47.664101103497","-122.33117847708","LAKE UNION","4","1906","3","1","87262","87262","0","78405","78405","0",,"48.7","51.6","4047988","3816138","69.3","72.9","Office","Office","43615","K-12 School","23177","Other - Entertainment/Public Assembly","5919","245664",,"32098","Compliant","No Issue","838207","3209780","163.68","2.09","false"
"40","2025","Silver Cloud Inn University","NonResidential","925049117","5036 25TH AVE NE","SEATTLE","WA","98105","47.665830173219","-122.29965189503","NORTHEAST","4","1994","4","1","81871","81871","0","83361","83361","0","91","58.5","58.5","4875661","4875661","113.1","113.1","Hotel","Hotel","83361","NA",,"NA",,"721168",,"24150","Compliant","No Issue","2460624","2415040","142.27","1.71","false"
"41","2025","08781-University Village","NonResidential","925049330","2746 NE 45TH ST","SEATTLE","WA","98105","47.662261903318","-122.29643655846","NORTHEAST","4","2006","2","1","26225","26225","0","45574","45574","0",,"4.3","4.4","200213.5","196407.1","10.2","10.3","Self-Storage Facility","Self-Storage Facility","45574","NA",,"NA",,"43139",,"530.2","Not Compliant",,"147189.5","53024",,,"false"
"43","2025","Boeing Plant 2 - Campus","NonResidential","22000005","1135 S WEBSTER ST","SEATTLE","WA","98108","47.534926370405","-122.31788423711","GREATER DUWAMISH","1","1992","3","33","2026324","2026324","0","1822155","1822155","0",,"66","66","119217552","119217552","91.8","91.8","Mixed Use Property","Office","686344","Non-Refrigerated Warehouse","482984","Laboratory","480744","6776540",,"960960","Compliant","No Issue","23121554","96096000","5227.2","2.87","false"
"50","2025","Lawton Elementary School (Sps-District)","School","369000400","4017 26TH AVE W","SEATTLE","WA","98199","47.65671241326","-122.39047451662","MAGNOLIA/QUEEN ANNE","6","1990","2","1","54986","54986","0","52669","52669","0","73","30.5","32","1683793","1608000","67.7","70.4","K-12 School","K-12 School","52669","NA",,"NA",,"325328",,"5738","Compliant","No Issue","1110019","573770","34.62","0.66","false"
"51","2025","Eckstein Middle (Sps-District)","School","425049022","3003 NE 75TH ST","SEATTLE","WA","98115","47.682520092088","-122.29498266536","NORTHEAST","4","1950","2","1","175565","175565","0","179513","179513","0","92","34.4","36.5","6556390","6168939","49.3","52.1","K-12 School","K-12 School","179513","NA",,"NA",,"413524",,"51454","Compliant","No Issue","1410943","5145450","262.78","1.46","false"
"53","2025","El Centro De La Raza","NonResidential","570000340","2524 16TH AVE S","SEATTLE","WA","98144","47.58033623155","-122.31132232063","GREATER DUWAMISH","2","1900","2","1","52554","52554","0","52544","52544","0","81","46.4","47.3","2483778","2438789","70.2","71.1","Office","Office","44695","Other - Education","7849","NA",,"188829",,"18395","Compliant","No Issue","644283","1839500","98.88","1.88","false"
"54","2025","Blanchet High School","School","625049002","8200 WALLINGFORD AVE N","SEATTLE","WA","98103","47.688910582936","-122.33552591601","NORTHWEST","6","1954","3","1","175015","175015","0","206621","176621","30000","81","40.6","42.8","7551033","7162432","66.1","69.2","K-12 School","K-12 School","176621","Parking",,"NA",,"717894",,"51016","Compliant","No Issue","2449454","5101580","267.45","1.51","false"
"55","2025","Vine St Mini Storage","NonResidential","653000225","11 VINE ST","SEATTLE","WA","98121","47.61351124724","-122.3512901673","DOWNTOWN","7","1911","3","1","70586","70586","0","70495","70495","0",,"15.5","15.5","1094695","1090638","41.3","41.4","Self-Storage Facility","Self-Storage Facility","42298","Vocational School","28197","NA",,"296232",,"840","Compliant","No Issue","1010745","83950","10.1","0.14","false"
"56","2025","Coast Seattle Downtown Hotel By Apa","NonResidential","7802920010","1301 6TH AVE","SEATTLE","WA","98101","47.609193828378","-122.33313074805","EAST","7","1969","24","1","126240","126240","0","332210","332210","0","86","40.9","41.1","13654013","13588471","86.7","87.2","Hotel","Hotel","332210","NA",,"NA",,"2453275",,"52834","Compliant","No Issue","8370574","5283440","328.19","0.99","false"
"57","2025","5th & Pine","NonResidential","1975700200","1513 5TH AVE","SEATTLE","WA","98101","47.611303539008","-122.33659260581","DOWNTOWN","7","1973","5","1","165202","165202","0","169531","169531","0","95","18.3","18.3","3097170","3097170","51.2","51.2","Office","Office","103855","Retail Store","65676","NA",,"907729",,,"Compliant","No Issue","3097171",,"17.96","0.11","false"
"58","2025","Century Square Retail","NonResidential","1975700365","1525 4TH AVE","SEATTLE","WA","98101","47.610762127617","-122.33765491793","DOWNTOWN","7","1920","2","1","57428","57428","0","57428","57428","0",,,,,,,,"Other - Mall","Other - Mall","57428","Personal Services (Health/Beauty, Dry Cleaning, etc)",,"Retail Store",,"200348",,,"Not Compliant","Missing EUI or Utility Data","683588",,,,"false"
"60","2025","Mann Building/Wild Ginger/Triple Door","NonResidential","1975700525","1401 3RD AVE","SEATTLE","WA","98101","47.608858335673","-122.33744341363","DOWNTOWN","7","1926","2","1","64597","64597","0","64597","64597","0",,"161.2","162.2","10477709","10413818","263","264.1","Mixed Use Property","Restaurant","21292","Performing Arts","15904","Office","14011","1014347",,"70168","Compliant","No Issue","3460952","7016760","388.58","6.02","false"
"62","2025","Hotel Theodore (Roosevelt)","NonResidential","1976700010","1531 7TH AVE","SEATTLE","WA","98101","47.612330382738","-122.33432306137","EAST","7","1930","20","1","98634","88591","10043","93751","88591","5160",,,,,,,,"Hotel","Hotel","88591","Parking","5160","NA",,"1083507",,,"Not Compliant","Missing EUI or Utility Data","3696926",,,,"false"
"63","2025","Sheraton Grand Seattle - (Parent Building)","NonResidential","1976700095","1400 6TH AVE","SEATTLE","WA","98101","47.610869904038","-122.33338585636","EAST","7","1982","34","2","1083197","926614","156583","1111880","994212","117668","78","73.7","73.9","73441464","73235280","150.2","150.4","Hotel","Hotel","994212","Parking","117668","Swimming Pool",,"11838760","11542398","215052","Compliant","No Issue","40393849","21505220","2298.08","2.31","false"
"65","2025","Inn At The Market","NonResidential","1977200050","86 PINE ST","SEATTLE","WA","98101","47.609967348807","-122.34137594226","DOWNTOWN","7","1985","7","1","71150","57420","13730","71150","57420","13730","68","92.2","92.2","5295750","5296371","173.9","173.8","Hotel","Hotel","57420","Parking","13730","NA",,"740379",,"27696","Compliant","No Issue","2526174","2769580","161.44","2.81","false"
"66","2025","Moore Hotel & Theatre","NonResidential","1977201035","1926 2ND AVE","SEATTLE","WA","98101","47.611554420916","-122.34113865672","DOWNTOWN","7","1908","7","1","122810","122810","0","122810","122810","0","100","34.1","34.1","4185954","4185954","49.2","49.2","Hotel","Hotel","96360","Other - Entertainment/Public Assembly","26450","NA",,"275485",,"32460","Compliant","No Issue","939954","3246000","177.49","1.45","false"
"68","2025","Holiday Inn - Seattle","NonResidential","1991200935","211 DEXTER AVE N","SEATTLE","WA","98109","47.620013253179","-122.34274307382","LAKE UNION","7","2000","7","1","150453","115718","34735","150453","115718","34735","98","46.4","46.4","5369056","5369056","95.9","95.9","Hotel","Hotel","115718","Parking","34735","NA",,"915316",,"22460","Compliant","No Issue","3123056","2246000","137.15","1.19","false"
"69","2025","Fairfield Inn","NonResidential","1991200940","226 7TH AVE N","SEATTLE","WA","98109","47.62024939687","-122.34313720687","LAKE UNION","7","1997","6","1","116300","88100","28200","116690","88490","28200","95","58.5","57.4","5080318","5176784","112.8","109.7","Hotel","Hotel","88490","Parking","28200","NA",,"732449",,"25812","Compliant","No Issue","2499117","2581200","151.86","1.72","false"
"70","2025","Homewood Suites Hotel - Seattle","NonResidential","1992200235","206 WESTERN AVE W","SEATTLE","WA","98119","47.620231876659","-122.35950632286","MAGNOLIA/QUEEN ANNE","7","1998","6","1","155602","118858","36744","155602","118858","36744","61","57.7","59","7016960","6855940","123.7","127.5","Hotel","Hotel","118858","Parking","36744","NA",,"1303517",,"25694","Compliant","No Issue","4447600","2569360","161.04","1.35","false"
"73","2025","Seattle Hebrew Academy","School","2125049015","1617 INTERLAKEN DR E","SEATTLE","WA","98112","47.634422429426","-122.30792638359","NORTHEAST","3","1911","3","1","56072","56072","0","67064","67064","0","73","46.2","47.4","3177726","3097839","64","65.2","K-12 School","K-12 School","67064","NA",,"NA",,"173967",,"25842","Compliant","No Issue","593577","2584150","136.19","2.03","false"
"77","2025","Four Points Sheraton Seattle Center","NonResidential","2249000170","601 ROY ST","SEATTLE","WA","98109","47.625190444103","-122.34456175055","LAKE UNION","7","1999","4","1","122942","78051","44891","122987","78096","44891","100","36.4","36.4","2842310","2842310","84.7","84.7","Hotel","Hotel","78096","Parking","44891","NA",,"608493",,"7661","Compliant","No Issue","2076179","766130","52.65","0.67","false"
