OSEBuildingID,SiteEUI,DataYear,BuildingType,EPAPropertyType,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,Neighborhood,CouncilDistrictCode,ZipCode,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFABuilding,PropertyGFAParking,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,Latitude,Longitude
145,77.6,2025,NonResidential,Performing Arts,Performing Arts,Parking,,DOWNTOWN,7,98101,1998.0,6.0,1.0,174000.0,174000.0,0.0,183010.0,153719.0,,47.608043659762,-122.33670430783
147,219.5,2025,Hospital,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),,,BALLARD,6,98107,1954.0,5.0,2.0,451526.0,302661.0,148865.0,286191.0,,,47.667365014384,-122.37955532187
148,20.3,2025,School,K-12 School,K-12 School,,,NORTHWEST,6,98107,1991.0,2.0,1.0,55513.0,55513.0,0.0,79292.0,,,47.670175033514,-122.36326114478
163,151.0,2025,NonResidential,Fire Station,Fire Station,Office,Electric Vehicle Charging Station,DOWNTOWN,2,98104,2006.0,4.0,1.0,61156.0,61156.0,0.0,30301.0,27659.0,,47.601035290444,-122.32851632596
167,31.0,2025,NonResidential,Museum,Museum,,,DOWNTOWN,2,98104,1910.0,4.0,1.0,72820.0,59000.0,13820.0,57155.0,,,47.598089522803,-122.3228269072
169,26.4,2025,School,K-12 School,K-12 School,,,SOUTHEAST,2,98144,1990.0,4.0,1.0,289588.0,289588.0,0.0,265346.0,,,47.576014920333,-122.29276798706
171,64.0,2025,University,College/University,College/University,,,EAST,3,98122,1925.0,3.0,5.0,122976.0,122976.0,0.0,766840.0,,,47.614383819198,-122.32174227818
172,46.3,2025,University,College/University,College/University,,,DELRIDGE NEIGHBORHOODS,1,98106,1970.0,2.0,27.0,529343.0,529343.0,0.0,530245.0,,,47.546998006059,-122.3530738634
174,83.2,2025,NonResidential,Vehicle Repair Services,Vehicle Repair Services,,,GREATER DUWAMISH,1,98134,1950.0,1.0,1.0,67356.0,67356.0,0.0,67772.0,,,47.595448461812,-122.32146498324
175,38.0,2025,School,K-12 School,K-12 School,,,CENTRAL,3,98122,2008.0,3.0,1.0,254523.0,254523.0,0.0,255419.0,,,47.605419510346,-122.30190468815
176,39.3,2025,School,K-12 School,K-12 School,,,SOUTHEAST,2,98118,2001.0,3.0,1.0,78804.0,78804.0,0.0,78804.0,,,47.514820464559,-122.25863614511
177,33.7,2025,School,K-12 School,K-12 School,,,CENTRAL,3,98122,2002.0,3.0,1.0,66994.0,66994.0,0.0,68127.0,,,47.612236770161,-122.2908688849
178,42.5,2025,School,K-12 School,K-12 School,,,GREATER DUWAMISH,2,98118,2000.0,3.0,1.0,103166.0,103166.0,0.0,103166.0,,,47.529151625745,-122.28903550453
179,48.1,2025,NonResidential,Multifamily Housing,Multifamily Housing,,,GREATER DUWAMISH,2,98118,1958.0,1.0,1.0,54765.0,54765.0,0.0,54765.0,,,47.538267691283,-122.28405605646
180,40.4,2025,NonResidential,Multifamily Housing,Multifamily Housing,Office,Food Service,GREATER DUWAMISH,2,98118,2009.0,5.0,1.0,89821.0,89821.0,0.0,89821.0,37938.0,4579.0,47.537222662175,-122.28399692598
182,63.6,2025,University,College/University,College/University,,,MAGNOLIA/QUEEN ANNE,7,98119,1980.0,2.0,1.0,53016.0,53016.0,0.0,53016.0,,,47.651466742569,-122.36121517328
183,42.3,2025,University,College/University,College/University,Parking,,MAGNOLIA/QUEEN ANNE,7,98119,2001.0,4.0,1.0,135520.0,92287.0,43233.0,92287.0,43233.0,,47.650681049957,-122.36331486044
185,32.5,2025,School,K-12 School,K-12 School,Parking,,NORTH,5,98125,2011.0,2.0,1.0,236758.0,236758.0,0.0,244739.0,,,47.707628612172,-122.29453071339
189,31.3,2025,School,K-12 School,K-12 School,,,NORTHWEST,6,98117,2002.0,3.0,1.0,62526.0,62526.0,0.0,60834.0,,,47.687253902172,-122.35996030202
190,45.7,2025,NonResidential,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Office,,GREATER DUWAMISH,1,98108,2007.0,3.0,1.0,64015.0,64015.0,0.0,36200.0,24419.0,,47.536045323555,-122.31722281405
198,227.3,2025,Hospital,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Parking,,NORTHEAST,4,98105,1953.0,10.0,10.0,879000.0,879000.0,0.0,897371.0,226563.0,,47.662313022418,-122.28145789361
205,30.3,2025,School,K-12 School,K-12 School,,,BALLARD,6,98117,1999.0,2.0,1.0,242795.0,242795.0,0.0,249963.0,,,47.676610770716,-122.37488867141
212,47.6,2025,School,K-12 School,K-12 School,,,SOUTHEAST,2,98118,1952.0,2.0,1.0,173185.0,173185.0,0.0,171523.0,,,47.546321849975,-122.28198038026
214,43.7,2025,School,K-12 School,K-12 School,,,DELRIDGE NEIGHBORHOODS,1,98106,1963.0,1.0,1.0,145341.0,145341.0,0.0,119514.0,,,47.54861954241,-122.36214094225
215,14.0,2025,NonResidential,Office,Office,,,GREATER DUWAMISH,1,98108,1904.0,4.0,1.0,92051.0,92051.0,0.0,92051.0,,,47.551521252882,-122.31868996656
217,35.7,2025,School,K-12 School,K-12 School,,,BALLARD,5,98117,1959.0,1.0,1.0,160270.0,160270.0,0.0,144936.0,,,47.696751451525,-122.37760191509
220,25.4,2025,NonResidential,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Office,Parking,GREATER DUWAMISH,1,98134,1937.0,1.0,1.0,234144.0,234144.0,0.0,222484.0,11660.0,,47.559008947628,-122.33327835847
223,27.4,2025,NonResidential,Retail Store,Retail Store,Office,"Personal Services (Health/Beauty, Dry Cleaning, etc)",DELRIDGE NEIGHBORHOODS,1,98126,1966.0,1.0,1.0,77772.0,77772.0,0.0,66870.0,3902.0,2163.0,47.522538932205,-122.36626957668
224,71.3,2025,NonResidential,Mixed Use Property,Retail Store,Supermarket/Grocery Store,Fitness Center/Health Club/Gym,DELRIDGE NEIGHBORHOODS,1,98126,1965.0,1.0,1.0,112467.0,112467.0,0.0,43200.0,40007.0,19686.0,47.522538932205,-122.36626957668
225,31.2,2025,School,K-12 School,K-12 School,,,DELRIDGE NEIGHBORHOODS,1,98106,2010.0,2.0,1.0,367884.0,367884.0,0.0,372897.0,,,47.529149605115,-122.36511420155
226,29.8,2025,School,K-12 School,K-12 School,,,DELRIDGE NEIGHBORHOODS,1,98126,1958.0,1.0,1.0,46797.0,46797.0,0.0,43744.0,,,47.517780748061,-122.37074219154
227,32.4,2025,School,K-12 School,K-12 School,,,CENTRAL,3,98144,1963.0,3.0,1.0,136188.0,136188.0,0.0,142558.0,,,47.597955690158,-122.30414977293
229,31.2,2025,School,K-12 School,K-12 School,,,SOUTHEAST,2,98118,2004.0,2.0,1.0,67371.0,67371.0,0.0,70638.0,,,47.541743197283,-122.27691175948
230,31.3,2025,NonResidential,Self-Storage Facility,Self-Storage Facility,,,SOUTHWEST,1,98126,1969.0,2.0,1.0,52088.0,52088.0,0.0,37784.0,,,47.545079484494,-122.37737091899
231,37.0,2025,School,K-12 School,K-12 School,,,LAKE UNION,4,98103,2010.0,3.0,1.0,127776.0,127776.0,0.0,128025.0,,,47.657080030265,-122.33802753663
232,60.5,2025,NonResidential,Hotel,Hotel,Parking,,LAKE UNION,7,98109,1998.0,5.0,1.0,123920.0,93920.0,30000.0,106978.0,43533.0,,47.629720593494,-122.32905783628
233,144.7,2025,NonResidential,Museum,Museum,,,LAKE UNION,7,98109,1900.0,1.0,1.0,52690.0,52690.0,0.0,52690.0,,,47.627592325926,-122.33661232529
